Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",161.200000,-71.899999,90.000000,top
"C2","220uF","CP_Elec_6.3x7.7",174.800000,-72.800000,0.000000,top
"C3","10uF","C_0805_2012Metric",148.400000,-74.200000,90.000000,top
"C4","10uF","C_0805_2012Metric",149.500000,-77.900000,90.000000,top
"C5","100nF","C_0603_1608Metric",156.600000,-88.699999,-90.000000,top
"C6","10uF","C_0805_2012Metric",154.700000,-88.699999,-90.000000,top
"C7","100nF","C_0603_1608Metric",146.700000,-77.699999,90.000000,top
"C8","100nF","C_0603_1608Metric",158.600000,-82.100000,0.000000,top
"C9","10uF","C_0805_2012Metric",136.000000,-71.500000,90.000000,top
"C10","100nF","C_0603_1608Metric",134.000000,-71.700000,90.000000,top
"C11","10uF","C_0805_2012Metric",112.399999,-93.699999,90.000000,top
"C12","22uF","C_1206_3216Metric",115.399999,-98.900000,0.000000,top
"C13","10uF","C_0805_2012Metric",115.800000,-96.300000,0.000000,top
"C14","10uF","C_0805_2012Metric",148.500000,-93.699999,90.000000,top
"C15","22uF","C_1206_3216Metric",140.400000,-96.699999,90.000000,top
"C16","10uF","C_0805_2012Metric",144.400000,-97.300000,0.000000,top
"C17","10uF","C_0805_2012Metric",185.000000,-93.699999,90.000000,top
"C18","22uF","C_1206_3216Metric",181.800000,-98.900000,0.000000,top
"C19","10uF","C_0805_2012Metric",181.399999,-96.300000,0.000000,top
"D1","SS34","D_SMA",177.800000,-79.900000,0.000000,top
"D2","SS34","D_SMA",165.800000,-72.800000,0.000000,top
"D3","LED_green","LED_0805_2012Metric",159.250000,-106.699999,0.000000,top
"D4","LED_green","LED_0805_2012Metric",162.900000,-106.699999,0.000000,top
"D5","LED_green","LED_0805_2012Metric",131.400000,-106.699999,0.000000,top
"D6","LED_green","LED_0805_2012Metric",137.600000,-106.699999,0.000000,top
"D7","LED_green","LED_0805_2012Metric",166.550000,-106.699999,0.000000,top
"F1","2A hold","Fuse_1812_4532Metric",182.000000,-74.500000,90.000000,top
"J1","USB-C 16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",151.640000,-65.399999,180.000000,top
"J2","USB-A port","USB_A_TE_292303-7_Horizontal",120.199999,-108.620000,0.000000,top
"J3","USB-A port","USB_A_TE_292303-7_Horizontal",148.800000,-108.620000,0.000000,top
"J4","USB-A port","USB_A_TE_292303-7_Horizontal",177.000000,-108.620000,0.000000,top
"J5","EXT 5V","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",188.500000,-82.750000,-90.000000,top
"JP1","0R","R_0603_1608Metric",151.925000,-71.800000,0.000000,top
"R1","5.1k","R_0603_1608Metric",156.400000,-71.700000,0.000000,top
"R2","5.1k","R_0603_1608Metric",147.000000,-71.600000,0.000000,top
"R3","1k","R_0603_1608Metric",159.250000,-103.900000,0.000000,top
"R4","2.7k 1%","R_0603_1608Metric",158.300000,-88.699999,-90.000000,top
"R5","56k","R_0603_1608Metric",158.600000,-78.500000,0.000000,top
"R6","100k","R_0603_1608Metric",158.600000,-80.300000,0.000000,top
"R7","10k","R_0603_1608Metric",129.199999,-74.899999,0.000000,top
"R8","1k","R_0603_1608Metric",162.900000,-103.900000,0.000000,top
"R9","10k","R_0603_1608Metric",115.800000,-90.300000,0.000000,top
"R10","100k","R_0603_1608Metric",112.399999,-89.900000,90.000000,top
"R11","1k","R_0603_1608Metric",131.400000,-103.900000,0.000000,top
"R12","10k","R_0603_1608Metric",146.400000,-91.100000,0.000000,top
"R13","100k","R_0603_1608Metric",142.600000,-91.100000,0.000000,top
"R14","1k","R_0603_1608Metric",137.600000,-103.900000,0.000000,top
"R15","10k","R_0603_1608Metric",181.399999,-90.300000,0.000000,top
"R16","100k","R_0603_1608Metric",179.800000,-87.699999,0.000000,top
"R17","1k","R_0603_1608Metric",166.550000,-103.900000,0.000000,top
"SW1","BOOT","SW_Push_1P1T_XKB_TS-1187A",123.800000,-72.500000,0.000000,top
"U1","FE1.1s","SSOP-28_3.9x9.9mm_P0.635mm",150.800000,-83.300000,90.000000,top
"U2","CH552G","SOIC-16_3.9x9.9mm_P1.27mm",139.200000,-77.699999,90.000000,top
"U3","SY6280AAC","SOT-23-5",115.800000,-93.300000,180.000000,top
"U4","USBLC6-2SC6","SOT-23-6",120.199999,-97.900000,-90.000000,top
"U5","SY6280AAC","SOT-23-5",144.400000,-94.100000,180.000000,top
"U6","USBLC6-2SC6","SOT-23-6",148.800000,-97.900000,-90.000000,top
"U7","SY6280AAC","SOT-23-5",181.399999,-93.300000,0.000000,top
"U8","USBLC6-2SC6","SOT-23-6",177.000000,-97.900000,-90.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",143.700000,-85.300000,90.000000,top
